id;opportunity_title;opportunity_description;weekly_time_commitment;duration
1;Estate high-level Palestinian Territory;generating;34636;66687
2;Rustic Steel Tuna;virtual Intelligent Concrete Shoes Bedfordshire;88299;59493
3;Sports override;Principal blue;16679;17683
4;withdrawal;Assistant Designer;79081;394
5;driver indigo;Texas;56860;48048
6;quantifying grey;Soft Games SAS;69529;73021
7;violet;Small Plastic Pants hacking;24556;63790
8;efficient parsing;synergistic;46066;23891
9;Forward;Program Virtual invoice;37560;5343
10;Music Associate;Handcrafted;57993;36318
