id;start_date;end_date;rating;comments;language
1;2020-04-17T03:31:59;2020-04-17T07:06:29;67273;Tenge;FRENCH
2;2020-04-17T10:18:16;2020-04-16T18:41:28;63903;non-volatile;FRENCH
3;2020-04-17T09:32:47;2020-04-17T09:07:39;46611;Bedfordshire Practical Granite Ball 1080p;SPANISH
4;2020-04-17T01:33:20;2020-04-17T08:30:59;89103;capacitor Incredible Metal Shoes;FRENCH
5;2020-04-17T02:44:49;2020-04-16T21:27:25;28996;ADP moratorium;SPANISH
6;2020-04-17T08:27:48;2020-04-17T03:34:46;11294;JSON;ENGLISH
7;2020-04-16T19:35:21;2020-04-17T09:55:58;97372;Program Steel Gorgeous Soft Fish;FRENCH
8;2020-04-17T06:57:51;2020-04-16T13:31:16;30685;Wooden;FRENCH
9;2020-04-17T11:02:53;2020-04-16T23:06:11;79529;Enterprise-wide Outdoors Berkshire;ENGLISH
10;2020-04-17T00:56:54;2020-04-17T03:56:42;20898;JSON;ENGLISH
